pages_crawled,last_page,indegree,graph_order
5,Econometrics,19,1886
6,Microeconomics,21,1959
7,Supply_and_demand,28,2030
8,Macroeconomics,25,2127
9,Economic_growth,25,2181
10,Industrial_organization,26,2317
11,Economic_history,27,2355
12,Experimental_economics,28,2464
13,Behavioral_economics,30,2508
14,History_of_economic_thought,30,2639
15,Economic_system,33,3125
16,Development_economics,34,3289
17,Mathematical_economics,35,3507
18,Game_theory,39,3743
19,Computational_economics,39,4097
20,Welfare_economics,38,4102
21,Information_economics,39,4123
22,JEL_classification_codes,39,4148
23,Heterodox_economics,42,4350
24,Schools_of_economic_thought,44,4392
25,Evolutionary_economics,47,4594
26,Neoclassical_economics,47,4637
27,Financial_economics,48,4659
28,Monetary_economics,51,4942
29,Public_economics,51,5012
30,Business_economics,52,5037
31,Law_and_economics,52,5048
32,Health_economics,54,5216
33,Labour_economics,56,5417
34,International_economics,56,5510
35,Environmental_economics,58,5532
36,Ecological_economics,62,5757
37,Natural_resource_economics,60,6305
38,Education_economics,60,6365
39,Economic_methodology,60,6678
40,Demographic_economics,61,6692
41,Agricultural_economics,62,6717
42,National_accounts,63,6740
43,Urban_economics,65,7052
44,List_of_important_publications_in_economics,65,7065
45,Knowledge_economy,67,7094
46,Service_economy,67,7158
47,Market_(economics),65,7195
48,Keynesian_economics,57,7362
49,Adam_Smith,59,7464
50,Classical_economics,62,7781
51,Institutional_economics,61,7795
52,Organizational_economics,60,7833
53,Mainstream_economics,61,7837
54,Post-Keynesian_economics,61,7855
55,Managerial_economics,61,7875
56,Demand,63,7877
57,Milton_Friedman,61,7886
58,John_Maynard_Keynes,63,8796
59,Paul_Samuelson,63,9011
60,Marxian_economics,62,9097
61,Alfred_Marshall,62,9196
62,David_Ricardo,63,9234
63,Feminist_economics,62,9272
64,Karl_Marx,64,9727
65,Chicago_school_of_economics,64,10207
66,Utility,62,10319
67,Kenneth_Arrow,62,10436
68,Robert_Solow,69,10522
69,Amartya_Sen,71,10549
70,Gary_Becker,72,10702
71,Paul_Krugman,70,10740
72,Joseph_Schumpeter,69,10902
73,Business_cycle,65,10983
74,Great_Depression,66,11025
75,Friedrich_Hayek,66,11724
76,Monetarism,66,11856
77,Monetary_policy,65,11865
78,Inflation,66,11935
79,Central_bank,68,12013
80,Unemployment,68,12311
81,Aggregate_demand,69,12429
82,Austrian_School,70,12439
83,Market_failure,68,12459
84,Monopoly,68,12480
85,Economic_equilibrium,69,12619
86,Ancient_economic_thought,68,12628
87,Oligopoly,68,12730
88,Public_good,67,12867
89,Mercantilism,67,12967
90,Post-scarcity_economy,67,13082
91,List_of_economists,68,13138
92,Economic_geography,68,13635
93,Regional_science,70,13721
94,Tjalling_Koopmans,67,13746
95,Scarcity,67,13773
96,Opportunity_cost,67,13776
97,Externality,68,13785
98,Market_structure,70,13960
99,Monopsony,72,13962
100,Marginal_cost,71,13971
