pages_crawled,last_page,indegree,graph_order
2,Public_finance,6,869
3,Personal_finance,9,990
4,Tax,8,1067
5,Corporate_finance,8,1602
6,Capital_structure,9,1802
7,Stock,12,1854
8,Financial_market,11,2003
9,Loan,15,2039
10,Bank,14,2100
11,Deposit_account,18,2348
12,Money_market,17,2356
13,Debt,19,2385
14,Central_bank,21,2438
15,Bond_market,22,2861
16,Security_(finance),23,2912
17,Bond_(finance),27,2961
18,Foreign_exchange_market,26,3035
19,Derivative_(finance),26,3189
20,Option_(finance),34,3341
21,Over-the-counter_(finance),34,3388
22,Futures_contract,29,3426
23,Forward_contract,29,3519
24,Swap_(finance),31,3530
25,Corporate_bond,30,3545
26,Government_bond,33,3552
27,Municipal_bond,35,3564
28,Fixed_income,34,3576
29,Government_debt,33,3582
30,Securitization,33,3666
31,Stock_market,34,3708
32,Derivatives_market,35,3786
33,Credit_derivative,37,3794
34,Commodity_market,35,3802
35,Financial_regulation,35,3961
36,Social_Science_Research_Network,37,4011
37,Call_option,34,4086
38,Put_option,36,4094
39,Collateralized_debt_obligation,36,4096
40,Mortgage-backed_security,39,4146
41,Consumer_debt,37,4192
42,Interest_rate,37,4217
43,Credit_default_swap,37,4257
44,Spot_market,36,4330
45,Real_estate,36,4338
46,Asset-backed_security,36,4504
47,Futures_exchange,37,4523
48,Preferred_stock,37,4558
49,Stock_exchange,39,4584
50,High-yield_debt,40,4641
51,Bond_valuation,40,4707
52,Financial_market_participants,41,4731
53,Currency,42,4734
54,Exchange_(organized_market),40,4932
55,Common_stock,40,4937
56,Clearing_house_(finance),40,4943
57,Exchange_rate,41,4966
58,Bond_option,39,4995
59,Volatility_(finance),41,5014
60,Convertible_bond,39,5107
61,Exchangeable_bond,38,5119
62,Hybrid_security,38,5120
63,Warrant_(finance),39,5123
64,Debenture,38,5127
65,United_States,38,5129
66,Margin_(finance),37,6671
67,Short_(finance),38,6684
68,Financial_instrument,39,6724
69,Speculation,40,6725
70,Hedge_(finance),40,6759
71,Exotic_option,38,6784
72,Structured_finance,37,6795
73,Collateralized_mortgage_obligation,37,6796
74,Initial_public_offering,37,6802
75,Credit_risk,37,6857
76,Interest,38,6884
77,Default_(finance),39,6935
78,Callable_bond,37,6943
79,Puttable_bond,38,6946
80,Extendible_bond,39,6946
81,Coupon_(bond),37,6946
82,Mergers_and_acquisitions,36,6949
83,Subordinated_debt,37,7064
84,Market_(economics),36,7069
85,Municipal_debt,35,7281
86,Senior_debt,36,7281
87,Bankruptcy,36,7283
88,Zero-coupon_bond,36,7413
89,Bond_duration,37,7416
90,Trader_(finance),38,7423
91,Stock_certificate,38,7425
92,Reinsurance,38,7445
93,Commercial_paper,38,7567
94,Inflation-indexed_bond,38,7574
95,Yield_to_maturity,38,7596
96,Registered_share,39,7597
97,Commercial_mortgage-backed_security,39,7598
98,Yield_curve,39,7603
99,Embedded_option,39,7641
100,Floating_rate_note,40,7642
