pages_crawled,last_page,indegree,graph_order
5,Differential_geometry,30,1342
6,Number_theory,27,1573
7,Topology,26,1904
8,Set_theory,22,2028
9,Statistics,24,2237
10,Mathematical_logic,23,2688
11,Geometry,24,2879
12,Algebraic_geometry,28,3025
13,Calculus,28,3170
14,Mathematical_analysis,27,3524
15,Functional_analysis,32,3610
16,Analytic_geometry,30,3775
17,Discrete_mathematics,30,3821
18,Probability_theory,32,3942
19,Combinatorics,34,4016
20,Graph_theory,36,4108
21,Numerical_analysis,36,4303
22,Differential_equation,37,4453
23,Applied_mathematics,39,4580
24,Mathematical_physics,40,4612
25,Information_theory,42,4745
26,Control_theory,43,5066
27,Discrete_geometry,43,5351
28,Computational_mathematics,43,5439
29,Game_theory,44,5448
30,Mathematical_optimization,44,5931
31,Abstract_algebra,45,6164
32,Category_theory,46,6209
33,Algebra,47,6271
34,Arithmetic,53,6355
35,Linear_algebra,53,6439
36,Pure_mathematics,50,6515
37,Finite_geometry,46,6525
38,Theory_of_computation,47,6558
39,Elementary_algebra,47,6594
40,Multilinear_algebra,48,6624
41,Trigonometry,48,6646
42,Representation_theory,49,6723
43,Order_theory,49,6888
44,Mathematical_statistics,48,6955
45,Mathematics_education,49,6982
46,History_of_mathematics,49,7418
47,Lie_theory,49,7848
48,Recreational_mathematics,50,7869
49,Dynamical_systems_theory,51,7914
50,Mathematics_and_art,51,7974
51,Function_(mathematics),44,8460
52,Algorithm,42,8520
53,Physics,41,8691
54,Real_number,39,9094
55,Set_(mathematics),40,9178
56,David_Hilbert,38,9207
57,Computer_science,35,9334
58,Cryptography,38,9857
59,Euclid,35,10236
60,Leonhard_Euler,35,10565
61,Quantum_mechanics,34,10755
62,Integrated_Authority_File,35,11013
63,Integer,34,11030
64,Field_(mathematics),34,12096
65,Vector_space,38,12188
66,Group_(mathematics),36,12318
67,Group_theory,35,12457
68,Ring_(mathematics),34,12504
69,Topological_space,36,12634
70,Abelian_group,35,12678
71,National_Diet_Library,35,12715
72,General_relativity,34,12808
73,Albert_Einstein,36,13242
74,Engineering,34,13792
75,Special_relativity,34,14032
76,Matrix_(mathematics),36,14161
77,Electromagnetism,36,14315
78,Classical_mechanics,37,14520
79,Isaac_Newton,39,14598
80,Euclidean_geometry,37,14864
81,Carl_Friedrich_Gauss,38,14909
82,Henri_Poincar%C3%A9,36,15157
83,Axiom,36,15320
84,Euclidean_space,36,15366
85,Algebraic_topology,35,15418
86,Lie_group,34,15471
87,Hermann_Weyl,34,15530
88,Non-Euclidean_geometry,34,15578
89,Bernhard_Riemann,36,15639
90,Archimedes,37,15683
91,Sphere,38,15816
92,Ren%C3%A9_Descartes,36,15887
93,Angle,36,16380
94,Felix_Klein,36,16473
95,Hyperbolic_geometry,34,16530
96,Projective_geometry,36,16596
97,Plane_(geometry),37,16617
98,Euclid%27s_Elements,35,16637
99,Encyclopedia_of_Mathematics,34,16686
100,Apollonius_of_Perga,34,16688
