pages_crawled,last_page,indegree,graph_order
4,Quantum_mechanics,24,1303
5,Electromagnetism,27,1582
6,Energy,26,1810
7,Classical_mechanics,28,2456
8,Special_relativity,26,2638
9,General_relativity,33,2964
10,Albert_Einstein,38,3297
11,Gravity,31,3892
12,Quantum_field_theory,33,4011
13,Particle_physics,31,4205
14,Quantum_gravity,34,4392
15,String_theory,34,4473
16,Richard_Feynman,32,4765
17,Nuclear_physics,32,5080
18,Theory_of_relativity,31,5180
19,Thermodynamics,32,5379
20,Statistical_mechanics,34,5505
21,Condensed_matter_physics,33,5590
22,Theoretical_physics,33,5743
23,Optics,34,5797
24,Wave,35,6197
25,Speed_of_light,34,6354
26,Spacetime,36,6534
27,Quantum_electrodynamics,34,6620
28,Photon,37,6663
29,Standard_Model,39,6781
30,Electron,40,6839
31,Paul_Dirac,40,7001
32,Werner_Heisenberg,44,7146
33,Niels_Bohr,41,7367
34,Max_Planck,44,7544
35,Max_Born,43,7627
36,Schr%C3%B6dinger_equation,40,7730
37,Atom,38,7819
38,Nobel_Prize_in_Physics,39,7985
39,Enrico_Fermi,38,8060
40,Wolfgang_Pauli,41,8278
41,Hendrik_Lorentz,40,8325
42,Erwin_Schr%C3%B6dinger,42,8370
43,Spin_(physics),37,8448
44,Elementary_particle,40,8520
45,Fermion,39,8548
46,Quark,42,8558
47,Quantum_chromodynamics,44,8636
48,Boson,44,8695
49,Higgs_boson,47,8705
50,Gluon,48,8841
51,Strong_interaction,49,8871
52,Weak_interaction,52,8874
53,Proton,53,8893
54,Neutron,56,8968
55,Atomic_nucleus,60,9087
56,Antineutrino,54,9230
57,Hadron,55,9357
58,Electric_charge,52,9365
59,Integrated_Authority_File,52,9393
60,Gauge_boson,51,9411
61,W_and_Z_bosons,54,9414
62,Lepton,53,9431
63,Muon,57,9451
64,Antiparticle,58,9483
65,Positron,64,9490
66,Meson,56,9513
67,Graviton,55,9536
68,List_of_mesons,55,9551
69,Pion,104,9553
70,Up_quark,61,9574
71,Kaon,62,9574
72,Down_quark,65,9590
73,Muon_neutrino,62,9590
74,Electron_neutrino,61,9590
75,Baryon,60,9594
76,Nucleon,63,9603
77,Quark_model,64,9625
78,Strange_quark,65,9630
79,Top_quark,64,9636
80,Charm_quark,66,9650
81,Wave%E2%80%93particle_duality,65,9653
82,Molecule,65,9693
83,Bottom_quark,65,9918
84,Standard_Model_(mathematical_formulation),66,9923
85,Virtual_particle,67,9939
86,Fundamental_interaction,66,9958
87,Tau_neutrino,65,9987
88,D_meson,65,9987
89,Tau_(particle),66,9988
90,List_of_particles,65,9991
91,Antiproton,65,10016
92,Rho_meson,65,10030
93,B_meson,66,10037
94,Strange_antiquark,65,10042
95,Murray_Gell-Mann,67,10042
96,Elementary_charge,66,10110
97,Chirality_(physics),66,10124
98,Parity_(physics),66,10144
99,Antineutron,66,10160
100,Down_antiquark,67,10161
