pages_crawled,last_page,indegree,graph_order
5,Sample_space,11,1033
6,Event_(probability_theory),14,1051
7,Probability_space,14,1066
8,Random_variable,12,1098
9,Conditional_probability,13,1381
10,Probability_axioms,15,1394
11,Independence_(probability_theory),16,1404
12,Elementary_event,17,1412
13,Statistics,18,1416
14,Law_of_large_numbers,16,1605
15,Probability_measure,17,1640
16,Conditional_independence,17,1656
17,Bayes%27_theorem,18,1661
18,Law_of_total_probability,19,1697
19,Complementary_event,19,1706
20,Boole%27s_inequality,18,1711
21,Marginal_distribution,19,1722
22,Joint_probability_distribution,21,1724
23,Probability_distribution,19,1861
24,Probability_density_function,28,1904
25,Probability_mass_function,26,1925
26,Cumulative_distribution_function,28,1927
27,Expected_value,25,1943
28,Normal_distribution,24,1994
29,Variance,31,2153
30,Standard_deviation,25,2213
31,Multivariate_normal_distribution,20,2327
32,Correlation_and_dependence,20,2364
33,Pearson_product-moment_correlation_coefficient,23,2411
34,Regression_analysis,23,2442
35,Exponential_family,25,2648
36,Analysis_of_variance,26,2684
37,Bootstrapping_(statistics),28,2759
38,Mean,29,2784
39,Multivariate_analysis_of_variance,31,2827
40,Time_series,33,2839
41,Categorical_variable,34,2990
42,Statistic,36,3030
43,Partial_correlation,38,3041
44,Poisson_regression,39,3050
45,General_linear_model,43,3064
46,Survival_analysis,43,3072
47,Multivariate_statistics,45,3094
48,Scatter_plot,47,3122
49,Contingency_table,48,3142
50,Parametric_statistics,49,3164
51,Plug-in_principle,50,3167
52,Population_(statistics),52,3170
53,Likelihood-ratio_test,54,3176
54,Linear_regression,48,3187
55,Ordinary_least_squares,51,3255
56,Simple_linear_regression,54,3294
57,Errors_and_residuals_in_statistics,55,3299
58,Generalized_linear_model,52,3311
59,Logistic_regression,54,3337
60,Nonlinear_regression,52,3395
61,Robust_regression,55,3407
62,Goodness_of_fit,57,3421
63,Nonparametric_regression,58,3423
64,Bayesian_linear_regression,58,3434
65,Isotonic_regression,60,3444
66,Semiparametric_regression,62,3452
67,Regression_model_validation,63,3457
68,Mixed_model,62,3465
69,Design_of_experiments,60,3470
70,Statistical_model,61,3587
71,Statistical_inference,63,3597
72,Confidence_interval,62,3630
73,Maximum_likelihood,61,3648
74,Likelihood_function,65,3686
75,Bayesian_inference,65,3714
76,Bayesian_probability,67,3773
77,Statistical_hypothesis_testing,63,3802
78,Skewness,63,3854
79,Median,67,3868
80,Arithmetic_mean,67,3924
81,Robust_statistics,68,3933
82,Moment_(mathematics),68,3955
83,Kurtosis,73,3980
84,Mode_(statistics),71,4004
85,Bias_of_an_estimator,70,4016
86,Degrees_of_freedom_(statistics),70,4101
87,Prior_probability,71,4121
88,Posterior_probability,71,4134
89,Optimal_design,71,4138
90,System_identification,72,4182
91,Model_selection,73,4214
92,Spearman%27s_rank_correlation_coefficient,74,4236
93,Blocking_(statistics),74,4247
94,Confounding,77,4251
95,Experiment,78,4277
96,Outline_of_statistics,79,4324
97,List_of_statistics_articles,81,4346
98,Analysis_of_covariance,83,5678
99,Statistical_power,84,5679
100,Efficiency_(statistics),86,5694
