pages_crawled,last_page,indegree,graph_order
3,Regression_analysis,12,2984
4,Correlation_and_dependence,15,3163
5,Pearson_product-moment_correlation_coefficient,19,3196
6,Analysis_of_variance,18,3217
7,Multivariate_analysis_of_variance,20,3257
8,Design_of_experiments,22,3269
9,Bootstrapping_(statistics),24,3365
10,Poisson_regression,25,3391
11,General_linear_model,29,3400
12,Partial_correlation,30,3403
13,Linear_regression,33,3414
14,Ordinary_least_squares,37,3478
15,Simple_linear_regression,39,3515
16,Errors_and_residuals_in_statistics,41,3519
17,Time_series,39,3530
18,Generalized_linear_model,40,3647
19,Exponential_family,41,3671
20,Statistic,42,3742
21,Scatter_plot,44,3752
22,Categorical_variable,45,3770
23,Likelihood-ratio_test,47,3803
24,Contingency_table,50,3812
25,Multivariate_statistics,53,3825
26,Parametric_statistics,53,3842
27,Survival_analysis,55,3845
28,Plug-in_principle,54,3864
29,Population_(statistics),56,3868
30,Probability_distribution,53,3877
31,Logistic_regression,53,3934
32,Nonlinear_regression,51,3990
33,Robust_regression,54,4001
34,Nonparametric_regression,57,4010
35,Goodness_of_fit,57,4020
36,Isotonic_regression,56,4023
37,Bayesian_linear_regression,58,4032
38,Regression_model_validation,61,4043
39,Semiparametric_regression,62,4048
40,Mixed_model,62,4050
41,Statistical_model,58,4054
42,Statistical_inference,57,4064
43,Standard_deviation,57,4100
44,Confidence_interval,60,4208
45,Statistical_hypothesis_testing,60,4222
46,Mean,60,4267
47,Optimal_design,60,4304
48,Bayesian_inference,61,4351
49,Likelihood_function,63,4409
50,Maximum_likelihood,68,4439
51,Statistical_power,63,4472
52,System_identification,64,4487
53,Model_selection,65,4519
54,Spearman%27s_rank_correlation_coefficient,67,4535
55,Bias_of_an_estimator,67,4544
56,Robust_statistics,69,4621
57,Analysis_of_covariance,69,4637
58,Blocking_(statistics),71,4638
59,Confounding,74,4643
60,Experiment,73,4668
61,Randomized_controlled_trial,74,4716
62,Random_assignment,75,4812
63,Scientific_control,78,4818
64,Effect_size,77,4833
65,Replication_(statistics),77,4854
66,Interaction_(statistics),79,4859
67,Factorial_experiment,82,4874
68,Degrees_of_freedom_(statistics),80,4882
69,Coefficient_of_determination,79,4901
70,Partition_of_sums_of_squares,79,4910
71,Kendall_tau_rank_correlation_coefficient,79,4917
72,Rank_correlation,80,4927
73,Sampling_(statistics),81,4933
74,F-test,82,4995
75,Student%27s_t-test,83,4996
76,Efficiency_(statistics),84,5024
77,Clinical_trial,84,5029
78,Observational_study,86,5178
79,Epidemiology,87,5185
80,Biostatistics,90,5393
81,Median,88,5427
82,Arithmetic_mean,92,5477
83,Skewness,90,5486
84,Mode_(statistics),92,5495
85,Descriptive_statistics,92,5508
86,Central_tendency,92,5520
87,Statistical_dispersion,94,5527
88,Multivariate_normal_distribution,94,5538
89,Statistical_parameter,94,5566
90,Resampling_(statistics),95,5571
91,Z-test,97,5593
92,Bayesian_probability,97,5596
93,Prior_probability,99,5632
94,Statistical_theory,97,5646
95,Prediction_interval,97,5650
96,Posterior_probability,99,5660
97,Credible_interval,100,5664
98,Bayes_factor,101,5665
99,Maximum_a_posteriori_estimation,101,5667
100,Loss_function,102,5674
